timestamp,hour,is_peak_hour,total_current,current_change_rate,overload_flag,main_contributor
2026-02-07T16:41:08.919796,16,False,9.05,0.0,False,4
2026-02-07T16:41:13.955333,16,False,10.0,0.95,False,3
2026-02-07T16:41:18.975755,16,False,8.38,-1.62,False,2
2026-02-07T16:41:24.003679,16,False,16.9,8.52,True,1
2026-02-07T16:41:29.027993,16,False,10.06,-6.84,False,5
2026-02-07T16:41:34.049469,16,False,9.74,-0.32,False,1
2026-02-07T16:41:39.065249,16,False,4.78,-4.96,False,4
2026-02-07T16:41:44.089182,16,False,14.31,9.53,False,3
2026-02-07T16:41:49.113343,16,False,7.94,-6.37,False,5
2026-02-07T16:41:54.139671,16,False,10.76,2.82,False,2
2026-02-07T16:41:59.166136,16,False,8.16,-2.6,False,2
2026-02-07T16:42:04.190011,16,False,8.19,0.03,False,4
2026-02-07T16:42:22.063556,16,False,13.25,5.06,False,5
2026-02-07T16:42:23.095782,16,False,8.54,-4.71,False,2
2026-02-07T16:42:24.117734,16,False,8.18,-0.36,False,4
2026-02-07T16:42:25.143839,16,False,10.01,1.83,False,2
2026-02-07T16:42:26.166102,16,False,9.37,-0.64,False,1
2026-02-07T16:42:27.185950,16,False,9.67,0.3,False,3
2026-02-07T16:42:28.206932,16,False,8.77,-0.9,False,2
2026-02-07T16:42:29.227835,16,False,8.32,-0.45,False,4
2026-02-07T16:42:30.250253,16,False,11.73,3.41,False,5
2026-02-07T16:42:31.296847,16,False,11.48,-0.25,False,4
2026-02-07T16:42:32.319627,16,False,11.56,0.08,False,2
2026-02-07T16:42:33.335767,16,False,14.77,3.21,False,3
2026-02-07T16:42:34.351824,16,False,14.68,-0.09,False,3
2026-02-07T16:42:35.373042,16,False,10.3,-4.38,False,5
2026-02-07T16:42:36.424112,16,False,6.62,-3.68,False,3
2026-02-07T16:42:37.446332,16,False,5.57,-1.05,False,4
2026-02-07T16:42:38.464809,16,False,15.03,9.46,True,1
2026-02-07T16:42:39.491770,16,False,8.53,-6.5,False,1
2026-02-07T16:42:40.509447,16,False,8.96,0.43,False,3
2026-02-07T16:42:41.527043,16,False,8.86,-0.1,False,5
2026-02-07T16:42:42.551754,16,False,9.83,0.97,False,2
2026-02-07T16:42:43.572958,16,False,5.11,-4.72,False,4
2026-02-07T16:42:44.591189,16,False,4.35,-0.76,False,5
2026-02-07T16:42:45.607435,16,False,10.6,6.25,False,4
2026-02-07T16:42:46.628610,16,False,7.93,-2.67,False,4
2026-02-07T16:42:47.648963,16,False,10.4,2.47,False,3
2026-02-07T16:42:48.672310,16,False,6.81,-3.59,False,1
2026-02-07T16:42:49.692714,16,False,10.8,3.99,False,1
2026-02-07T16:42:50.709837,16,False,9.03,-1.77,False,1
2026-02-07T16:42:51.733908,16,False,8.1,-0.93,False,1
2026-02-07T16:42:52.761133,16,False,9.03,0.93,False,5
2026-02-07T16:42:53.784765,16,False,10.7,1.67,False,1
2026-02-07T16:42:54.807614,16,False,10.2,-0.5,False,3
2026-02-07T16:42:55.829307,16,False,11.0,0.8,False,3
2026-02-07T16:42:56.852531,16,False,12.08,1.08,False,1
2026-02-07T16:42:57.869531,16,False,8.23,-3.85,False,5
2026-02-07T16:42:58.887827,16,False,9.72,1.49,False,2
2026-02-07T16:42:59.910832,16,False,8.99,-0.73,False,2
2026-02-07T16:43:00.933929,16,False,8.01,-0.98,False,4
2026-02-07T16:43:01.948681,16,False,12.55,4.54,False,3
